AV_x,AV_y,AV_steer,AV_vel,AV_yaw,npc_x,npc_y,Rollout_num,is_attack
101.46,-133.43,0.2,1.17,-0.01,127.25,-133.3,4,0
101.75,-133.42,-0.06,1.39,0.01,127.4,-133.31,4,0
102.09,-133.42,0.02,1.68,0.01,127.74,-133.31,4,0
102.43,-133.43,-0.01,1.93,0.01,128.17,-133.31,4,0
102.88,-133.42,0.05,2.17,-0.01,128.78,-133.31,4,0
103.35,-133.42,-0.04,2.44,0.01,129.38,-133.31,4,0
103.92,-133.42,0.04,2.77,-0.01,130.04,-133.31,4,0
104.57,-133.41,-0.04,3.06,0.01,130.7,-133.31,4,0
105.19,-133.43,-0.04,3.32,-0.01,131.3,-133.31,4,0
105.87,-133.42,0.01,3.51,-0.01,131.9,-133.32,4,0
106.66,-133.44,0.07,3.75,-0.01,132.56,-133.32,4,0
107.53,-133.43,0.01,4.01,0.01,133.22,-133.33,4,0
108.43,-133.41,-0.02,4.27,0.01,133.88,-133.33,4,0
109.43,-133.44,0.03,4.55,-0.01,134.54,-133.34,2,0
110.43,-133.43,0.15,4.83,0.04,135.2,-133.35,2,0
111.45,-133.34,0.15,5.11,0.09,135.8,-133.36,2,0
112.57,-133.2,0.11,5.36,0.15,136.46,-133.36,1,0
113.67,-133.03,0.06,5.53,0.18,137.06,-133.37,1,0
114.84,-132.83,0.02,5.51,0.19,137.72,-133.38,1,0
116.06,-132.59,0.03,5.55,0.19,138.38,-133.39,1,0
117.24,-132.34,0.05,5.55,0.21,139.04,-133.4,1,0
118.33,-132.12,0.07,5.53,0.22,139.64,-133.41,1,0
119.49,-131.84,0.04,5.52,0.25,140.3,-133.41,0,0
120.7,-131.55,-0.06,5.55,0.24,140.96,-133.42,0,0
121.77,-131.32,-0.12,5.55,0.2,141.56,-133.43,0,0
123.41,-131.15,-0.19,5.52,0.09,142.46,-133.43,2,1
124.5,-131.11,-0.15,5.54,0.01,143.06,-133.44,2,1
125.74,-131.15,-0.06,5.55,-0.05,143.72,-133.44,2,1
126.95,-131.21,0.03,5.52,-0.07,144.38,-133.44,2,1
128.17,-131.28,0.1,5.55,-0.04,145.04,-133.44,2,1
129.27,-131.3,0.12,5.55,0.01,145.64,-133.44,2,1
130.49,-131.25,0.04,5.55,0.05,146.3,-133.44,2,1
131.71,-131.2,-0.02,5.55,0.06,146.96,-133.44,2,1
132.93,-131.14,-0.04,5.55,0.04,147.62,-133.44,2,1
134.14,-131.12,-0.05,5.55,0.02,148.28,-133.44,2,1
135.37,-131.1,0.01,5.55,0.01,148.94,-133.44,2,1
136.47,-131.08,0.01,5.54,0.01,149.54,-133.44,2,1
137.67,-131.08,0.03,5.52,0.01,150.2,-133.44,2,1
138.81,-131.08,0.01,5.52,0.02,150.8,-133.44,2,1
140.02,-131.06,0.01,5.52,0.02,151.46,-133.44,2,1
141.11,-131.04,0.01,5.52,0.02,152.06,-133.44,2,1
142.33,-131.01,-0.03,5.52,0.01,152.72,-133.44,2,1
143.55,-131,-0.02,5.52,-0.01,153.38,-133.44,2,1
144.79,-131.03,0.02,5.55,-0.01,154.04,-133.44,2,1
145.99,-131.04,0.02,5.55,0.01,154.7,-133.44,2,1
147.18,-131.04,0.02,5.54,0.01,155.36,-133.44,2,1
148.32,-131.02,-0.01,5.55,0.01,155.96,-133.44,2,1
149.53,-131.01,0.01,5.52,0.01,156.62,-133.44,2,1
150.75,-131,-0.01,5.55,0.01,157.28,-133.44,2,1
151.88,-131,-0.01,5.55,0.01,157.88,-133.44,2,1
153.08,-131,-0.01,5.55,0.01,158.54,-133.45,2,1
154.19,-131,-0.01,5.51,-0.01,159.14,-133.45,2,1
155.41,-131.01,-0.02,5.53,-0.01,159.8,-133.45,2,1
156.63,-131.01,-0.01,5.55,-0.02,160.46,-133.45,2,1
157.72,-131.03,0.01,5.55,-0.02,161.06,-133.45,2,1
158.85,-131.05,0.01,5.55,-0.01,161.66,-133.45,2,1
160.06,-131.03,0.02,5.55,-0.01,162.32,-133.45,2,1
161.15,-131.05,-0.01,5.55,-0.01,162.92,-133.45,2,1
162.37,-131.05,0.01,5.53,0.01,163.58,-133.45,2,1
163.6,-131.06,0.01,5.55,0.01,164.24,-133.45,2,1
164.83,-131.04,-0.02,5.52,0.01,164.9,-133.45,2,1
165.94,-131.03,-0.05,5.55,-0.01,165.5,-133.45,4,1
167.15,-131.06,-0.14,5.54,-0.04,166.16,-133.45,4,1
168.25,-131.14,-0.19,5.52,-0.11,166.76,-133.45,4,1
169.23,-131.29,0.05,2.4,-0.18,167.42,-133.45,4,1
169.32,-131.29,-0.13,0,-0.19,168.08,-133.45,4,1
169.34,-131.3,0.18,0,-0.19,168.68,-133.45,4,1
169.36,-131.3,-0.32,0,-0.19,169.34,-133.45,4,1
169.35,-131.29,-0.26,0,-0.19,170,-133.45,4,1
169.35,-131.3,-0.05,0,-0.19,170.66,-133.45,4,1
169.36,-131.31,-0.19,0,-0.19,171.26,-133.45,4,1
169.34,-131.31,-0.05,0,-0.19,171.86,-133.45,4,1
169.37,-131.22,-0.01,0,-0.19,172.82,-133.45,4,0
169.35,-131.22,-0.21,0,-0.19,173.42,-133.45,4,0
169.34,-131.22,-0.18,0,-0.19,174.02,-133.45,4,0
169.36,-131.21,-0.45,0,-0.19,174.68,-133.45,4,0
169.36,-131.23,-0.11,0,-0.19,175.34,-133.45,4,0
169.47,-131.25,0.45,1.17,-0.19,176,-133.45,1,0
169.73,-131.28,0.45,1.42,-0.13,176.66,-133.45,1,0
170.06,-131.31,0.45,1.68,-0.07,177.32,-133.45,1,0
170.46,-131.31,0.26,1.9,0.01,177.98,-133.45,1,0
170.83,-131.31,0.24,2.07,0.06,178.58,-133.45,1,0
171.26,-131.27,0.08,2.34,0.09,179.18,-133.45,1,0
171.82,-131.21,-0.02,2.66,0.11,179.84,-133.45,2,0
172.41,-131.16,-0.06,2.9,0.1,180.5,-133.46,1,0
173.07,-131.09,0.02,3.12,0.09,181.16,-133.46,2,0
173.75,-131.05,-0.21,3.37,0.08,181.82,-133.46,2,0
174.45,-131.01,-0.13,3.62,0.03,182.42,-133.46,2,0
175.2,-131,-0.09,3.82,-0.01,183.02,-133.46,2,0
175.96,-131.03,0.01,4.07,-0.03,183.62,-133.46,2,0
176.9,-131.04,0.05,4.35,-0.02,184.28,-133.46,2,0
177.89,-131.04,-0.02,4.68,0.01,184.94,-133.46,2,0
178.85,-131.04,-0.04,4.96,-0.01,185.54,-133.46,2,0
179.95,-131.05,-0.01,5.18,-0.02,186.2,-133.46,2,0
181.12,-131.06,-0.02,5.48,-0.02,186.86,-133.46,2,0
182.34,-131.09,0.04,5.52,-0.02,187.52,-133.46,2,0
183.44,-131.09,0.03,5.55,0.01,188.12,-133.46,2,0
184.65,-131.09,0.04,5.55,0.02,188.78,-133.46,2,0
185.87,-131.05,-0.03,5.52,0.02,189.44,-133.46,2,0
186.98,-131.06,-0.01,5.55,0.01,190.04,-133.46,2,0
188.2,-131.04,-0.04,5.55,-0.01,190.7,-133.46,2,0
189.41,-131.06,-0.02,5.52,-0.02,191.36,-133.46,2,0
190.51,-131.08,0.04,5.52,-0.02,191.96,-133.46,2,0
191.73,-131.07,0.05,5.55,0.01,192.62,-133.46,2,0
192.87,-131.05,-0.01,5.55,0.02,193.22,-133.46,2,0
194.08,-131.05,-0.03,5.55,0.01,193.88,-133.46,2,0
195.28,-131.06,-0.02,5.55,0.01,194.54,-133.46,2,0
196.51,-131.06,0.01,5.55,-0.01,195.2,-133.46,2,0
197.61,-131.07,0.01,5.55,-0.01,195.8,-133.46,2,0
198.71,-131.06,0.01,5.52,-0.01,196.4,-133.46,2,0
199.83,-131.07,0.02,5.52,0.01,197,-133.46,2,0
201.04,-131.07,0.02,5.51,0.01,197.66,-133.46,2,0
202.26,-131.04,-0.03,5.55,0.01,198.32,-133.46,2,0
203.37,-131.04,-0.01,5.55,-0.01,198.92,-133.46,2,0
204.58,-131.05,0.01,5.54,-0.01,199.58,-133.46,2,0
205.69,-131.06,-0.09,5.55,-0.02,200.18,-133.46,4,0
206.91,-131.12,-0.18,5.55,-0.08,200.84,-133.46,4,0
208.14,-131.25,-0.17,5.55,-0.16,201.5,-133.46,4,0
209.22,-131.46,-0.12,5.54,-0.23,202.1,-133.46,4,0
210.3,-131.74,-0.04,5.55,-0.26,202.7,-133.47,4,0
211.46,-132.05,0.06,5.52,-0.26,203.36,-133.47,4,0
212.64,-132.36,0.1,5.55,-0.23,204.02,-133.47,4,0
213.72,-132.55,0.07,5.55,-0.18,204.62,-133.47,4,0
214.93,-132.76,0.01,5.55,-0.16,205.28,-133.47,4,0
216.03,-132.94,0.06,5.55,-0.16,205.88,-133.47,4,0
217.22,-133.1,0.09,5.52,-0.12,206.54,-133.47,4,0
218.46,-133.23,0.08,5.55,-0.08,207.2,-133.47,4,0
219.56,-133.3,0.06,5.55,-0.05,207.8,-133.47,4,0
220.75,-133.33,0.02,5.51,-0.04,208.46,-133.47,4,0
221.87,-133.37,0.01,5.55,-0.03,209.06,-133.47,4,0
223.11,-133.4,0.02,5.53,-0.03,209.72,-133.47,4,0
224.3,-133.42,0.02,5.53,-0.02,210.38,-133.47,4,0
225.53,-133.45,0.02,5.55,-0.02,211.04,-133.47,4,0
226.64,-133.46,-0.01,5.52,-0.01,211.64,-133.47,4,0
227.86,-133.47,0.01,5.55,-0.01,212.3,-133.47,4,0
229.06,-133.46,-0.01,5.52,-0.01,212.96,-133.47,4,0
230.18,-133.47,-0.01,5.55,-0.01,213.56,-133.47,4,0
231.41,-133.47,0.01,5.51,-0.01,214.22,-133.47,4,0
232.62,-133.48,-0.01,5.52,-0.01,214.88,-133.47,4,0
233.74,-133.47,0.02,5.55,-0.01,215.48,-133.47,4,0
234.94,-133.49,0.01,5.55,0.01,216.14,-133.47,4,0
236.18,-133.47,-0.03,5.55,0.01,216.8,-133.47,4,0
237.28,-133.48,-0.01,5.51,0.01,217.4,-133.47,4,0
238.37,-133.48,0.01,5.55,-0.01,218,-133.47,4,0
239.58,-133.47,-0.01,5.53,-0.01,218.66,-133.47,4,0
240.71,-133.5,0.02,5.55,-0.01,219.26,-133.47,4,0
241.93,-133.5,0.01,5.55,-0.01,219.92,-133.47,4,0
243.13,-133.48,-0.01,5.55,-0.01,220.58,-133.47,4,0
244.25,-133.5,0.03,5.52,-0.01,221.18,-133.47,4,0
245.47,-133.5,0.01,5.55,0.01,221.84,-133.47,4,0
