AV_x,AV_y,AV_steer,AV_vel,AV_yaw,npc_x,npc_y,Rollout_num
101.73,-133.44,0.01,1.3,-0.01,127.25,-133.3,4
102.04,-133.43,0.09,1.51,-0.01,127.38,-133.31,4
102.38,-133.42,0.01,1.63,-0.01,127.69,-133.31,4
102.75,-133.42,0.01,1.82,0.01,128.14,-133.31,4
103.12,-133.43,0.28,1.93,0.02,128.68,-133.31,2
103.53,-133.4,0.33,2.09,0.07,129.34,-133.31,2
104.02,-133.36,0.31,2.28,0.13,130,-133.31,2
104.5,-133.3,0.22,2.43,0.16,130.6,-133.31,2
105.01,-133.2,0.12,2.64,0.2,131.26,-133.31,2
105.62,-133.09,0.06,2.78,0.22,131.92,-133.32,2
106.14,-132.95,0.06,2.91,0.23,132.52,-133.32,2
106.8,-132.81,0.06,3.13,0.25,133.18,-133.33,2
107.47,-132.62,-0.03,3.31,0.26,133.84,-133.33,2
108.19,-132.44,-0.01,3.47,0.25,134.5,-133.34,2
108.89,-132.27,0.04,3.62,0.25,135.1,-133.35,2
109.67,-132.07,0.06,3.8,0.26,135.76,-133.36,2
110.42,-131.87,-0.09,3.94,0.26,136.36,-133.36,2
111.26,-131.66,-0.15,4.07,0.21,137.02,-133.37,2
112.16,-131.5,-0.12,4.24,0.16,137.68,-133.38,2
113,-131.39,-0.12,4.41,0.12,138.28,-133.39,2
113.99,-131.29,-0.09,4.53,0.08,138.94,-133.4,2
115.01,-131.23,-0.08,4.7,0.05,139.6,-133.41,2
115.96,-131.2,-0.03,4.84,0.03,140.2,-133.41,2
117.05,-131.17,0.03,5.05,0.04,140.86,-133.42,2
118.17,-131.12,-0.01,5.19,0.03,141.52,-133.43,2
119.33,-131.11,-0.02,5.4,0.03,142.18,-133.43,2
120.41,-131.06,-0.04,5.51,0.03,142.78,-133.43,2
121.52,-131.06,-0.04,5.52,0.02,143.38,-133.44,2
122.73,-131.04,-0.03,5.55,0.01,144.04,-133.44,2
123.97,-131.04,-0.02,5.55,-0.01,144.7,-133.44,2
125.16,-131.04,0.01,5.55,-0.01,145.36,-133.44,2
126.28,-131.05,0.01,5.55,-0.01,145.96,-133.44,2
127.49,-131.07,0.03,5.55,0.01,146.62,-133.44,2
128.71,-131.04,-0.02,5.52,0.01,147.28,-133.44,2
129.82,-131.04,-0.01,5.55,0.01,147.88,-133.44,2
131.04,-131.05,-0.02,5.52,-0.01,148.54,-133.44,2
132.25,-131.05,-0.01,5.55,-0.01,149.2,-133.44,2
133.36,-131.03,0.01,5.52,0.01,149.8,-133.44,2
134.59,-131.04,0.01,5.55,0.01,150.46,-133.44,2
135.8,-131.05,-0.01,5.55,0.01,151.12,-133.44,2
136.91,-131.06,0.02,5.55,-0.01,151.72,-133.44,2
138.13,-131.03,0.03,5.55,0.01,152.38,-133.44,2
139.36,-131.04,-0.01,5.55,0.01,153.04,-133.44,2
140.58,-131.01,-0.02,5.55,0.01,153.7,-133.44,2
141.77,-131.02,-0.01,5.55,-0.01,154.36,-133.44,2
142.9,-131.03,-0.03,5.55,-0.02,154.96,-133.44,2
144,-131.05,0.05,5.55,-0.01,155.56,-133.44,2
145.23,-131.05,0.01,5.55,0.01,156.22,-133.44,2
146.34,-131.06,-0.01,5.52,0.01,156.82,-133.44,2
147.53,-131.05,-0.01,5.55,0.01,157.48,-133.44,2
148.76,-131.03,-0.03,5.52,0.01,158.14,-133.44,2
149.87,-131.05,-0.01,5.55,-0.01,158.74,-133.45,2
151.08,-131.05,0.02,5.55,-0.01,159.4,-133.45,2
152.29,-131.05,0.02,5.52,-0.01,160.06,-133.45,2
153.51,-131.05,0.01,5.55,-0.01,160.72,-133.45,2
154.61,-131.07,0.02,5.52,-0.01,161.32,-133.45,2
155.84,-131.06,-0.01,5.52,0.01,161.98,-133.45,2
157.07,-131.05,-0.02,5.55,-0.01,162.64,-133.45,2
158.17,-131.07,-0.02,5.55,-0.01,163.24,-133.45,2
159.38,-131.06,0.02,5.55,-0.01,163.9,-133.45,2
160.62,-131.07,-0.02,5.51,0.01,164.56,-133.45,2
161.72,-131.08,-0.02,5.55,-0.01,165.16,-133.45,2
