AV_x,AV_y,AV_steer,AV_vel,AV_yaw,npc_x,npc_y,Rollout_num
101.42,-133.42,-0.14,1.12,0.01,127.25,-133.3,4
101.65,-133.43,-0.04,1.28,0.01,127.37,-133.31,4
101.94,-133.43,-0.05,1.45,-0.01,127.66,-133.31,4
102.25,-133.42,0.1,1.59,-0.01,128.06,-133.31,2
102.62,-133.41,0.31,1.78,0.05,128.63,-133.31,2
103.02,-133.4,0.3,1.94,0.1,129.29,-133.31,2
103.41,-133.36,0.07,2.12,0.13,129.89,-133.31,2
103.85,-133.3,0.04,2.27,0.13,130.49,-133.31,2
104.35,-133.23,0.06,2.46,0.14,131.15,-133.31,2
104.86,-133.18,0.07,2.68,0.15,131.75,-133.32,2
105.47,-133.07,0.04,2.86,0.16,132.41,-133.32,2
106.12,-132.97,0.07,3.04,0.17,133.07,-133.33,2
106.76,-132.85,0.1,3.19,0.19,133.73,-133.33,2
107.48,-132.71,0.07,3.36,0.22,134.39,-133.34,2
108.22,-132.53,0.02,3.61,0.23,135.05,-133.35,2
108.95,-132.4,0.02,3.79,0.23,135.65,-133.35,2
109.77,-132.18,0.04,4.01,0.24,136.31,-133.36,2
110.56,-131.97,0.01,4.2,0.25,136.91,-133.37,2
111.46,-131.77,-0.08,4.35,0.24,137.51,-133.38,2
112.33,-131.56,-0.16,4.51,0.2,138.17,-133.39,2
113.23,-131.43,-0.16,4.62,0.14,138.77,-133.4,2
114.27,-131.31,-0.13,4.9,0.09,139.43,-133.4,2
115.29,-131.24,-0.08,5.05,0.06,140.03,-133.41,2
116.39,-131.2,-0.05,5.21,0.04,140.69,-133.42,2
117.54,-131.17,0.01,5.4,0.03,141.35,-133.42,2
118.65,-131.15,0.02,5.55,0.04,141.95,-133.43,2
119.86,-131.09,-0.01,5.55,0.04,142.61,-133.43,2
121.07,-131.07,-0.05,5.55,0.03,143.27,-133.44,2
122.29,-131.03,-0.05,5.55,0.01,143.93,-133.44,2
123.5,-131.05,0.01,5.55,-0.01,144.53,-133.44,2
124.63,-131.06,0.02,5.52,-0.01,145.19,-133.44,2
125.83,-131.06,0.01,5.55,0.01,145.85,-133.44,2
126.96,-131.06,0.01,5.55,0.01,146.45,-133.44,2
127.95,-131.05,-0.03,5.53,0.01,147.05,-133.44,2
129.27,-131.03,0.01,5.55,-0.01,147.71,-133.44,2
130.39,-131.05,0.01,5.55,0.01,148.31,-133.44,2
131.62,-131.06,-0.01,5.55,0.01,148.97,-133.44,2
132.73,-131.05,0.01,5.52,0.01,149.57,-133.44,2
133.82,-131.04,-0.01,5.55,0.01,150.17,-133.44,2
134.91,-131.04,-0.01,5.55,-0.01,150.77,-133.44,2
136.15,-131.05,0.02,5.55,0.01,151.43,-133.44,2
137.25,-131.03,0.01,5.52,-0.01,152.03,-133.44,2
138.34,-131.05,-0.01,5.55,-0.01,152.63,-133.44,2
139.58,-131.06,0.01,5.55,-0.01,153.29,-133.44,2
140.8,-131.04,0.02,5.55,0.01,153.95,-133.44,2
141.91,-131.03,-0.02,5.55,0.01,154.55,-133.44,2
143.11,-131.05,0.01,5.52,-0.01,155.21,-133.44,2
144.23,-131.02,0.01,5.55,0.01,155.81,-133.44,2
145.45,-131.05,0.01,5.55,0.01,156.41,-133.44,2
146.68,-131.03,-0.01,5.55,-0.01,157.07,-133.44,2
147.78,-131.02,0.01,5.55,-0.01,157.73,-133.44,2
148.87,-131.03,0.01,5.52,-0.01,158.33,-133.45,2
150.09,-131.04,0.02,5.55,0.01,158.99,-133.45,2
151.32,-131.03,-0.01,5.55,0.01,159.59,-133.45,2
152.42,-131.04,-0.02,5.55,-0.01,160.25,-133.45,2
153.53,-131.04,-0.02,5.54,-0.02,160.85,-133.45,2
154.77,-131.07,0.01,5.52,-0.01,161.51,-133.45,2
155.99,-131.06,0.02,5.55,-0.01,162.17,-133.45,2
157.08,-131.08,0.02,5.55,-0.01,162.77,-133.45,2
158.32,-131.06,0.01,5.55,0.01,163.43,-133.45,2
159.43,-131.07,-0.01,5.53,0.02,164.03,-133.45,2
160.62,-131.04,-0.03,5.52,0.01,164.69,-133.45,2
161.93,-131.05,-0.03,5.55,-0.01,165.35,-133.45,2
163.04,-131.07,0.01,5.55,-0.01,166.01,-133.45,2
164.17,-131.05,0.01,5.52,-0.01,166.61,-133.45,2
165.27,-131.06,0.01,5.52,-0.01,167.21,-133.45,2
166.49,-131.06,0.02,5.55,0.01,167.87,-133.45,2
167.59,-131.06,-0.01,5.51,0.01,168.47,-133.45,2
168.84,-131.06,-0.01,5.55,-0.01,169.13,-133.45,2
170.16,-131.05,0.02,5.55,-0.01,169.79,-133.45,2
171.36,-131.05,0.01,5.55,0.01,170.45,-133.45,2
172.47,-131.08,-0.01,5.55,0.01,171.11,-133.45,2
173.69,-131.06,0.01,5.55,-0.01,171.77,-133.45,2
174.9,-131.05,0.01,5.55,-0.01,172.43,-133.45,2
176.14,-131.05,0.01,5.55,0.01,173.09,-133.45,2
177.36,-131.06,0.01,5.51,0.01,173.75,-133.45,2
178.57,-131.04,-0.01,5.55,0.01,174.41,-133.45,2
179.69,-131.02,-0.03,5.52,0.01,175.01,-133.45,4
180.91,-131.05,-0.12,5.55,-0.03,175.67,-133.45,4
182,-131.11,-0.2,5.53,-0.09,176.27,-133.45,4
183.19,-131.25,-0.16,5.52,-0.18,176.93,-133.45,4
184.27,-131.48,-0.08,5.55,-0.24,177.53,-133.45,4
185.37,-131.77,-0.01,5.55,-0.26,178.13,-133.45,4
186.55,-132.06,0.08,5.51,-0.24,178.79,-133.45,4
187.73,-132.32,0.08,5.55,-0.21,179.45,-133.45,4
